# =============================================================================
# 书籍数据（批量编辑用）
# 来源: zhita_settings.xlsx → 工作表「书籍」
# 写回: python scripts/site/export_books_games_txt.py --import-books
# 说明:
#   - 制表符分隔；以 # 开头的行为注释；空行忽略
#   - 下方第一行有效数据必须是表头：书名、作者、分类（Tab 分隔）
#   - 从第二行起每行一条记录；字段内请勿使用制表符
# =============================================================================

书名	作者	分类
HMI专业催眠师教程	专业教材	实体书
一个陌生女人的来信	斯蒂芬·茨威格	实体书
三体	刘慈欣	实体书
三重门	韩寒	实体书
下一站,天国	是枝裕和	实体书
不正常人类症候群	张寒寺	实体书
不要挑战人性	邓娟	实体书
世界上最神奇的60个经典定律	张新国	网文
云边有个小卖部	张嘉佳	实体书
人间失格	太宰治	实体书
伊豆的舞女	川端康成	实体书
倾城之恋	张爱玲	实体书
克苏鲁神话Ⅰ 克苏鲁的呼唤	H.P.洛夫克拉夫特	实体书
克苏鲁神话Ⅱ 疯狂山脉	H.P.洛夫克拉夫特	实体书
全球高考	木苏里	实体书与网文
区块链	专业书籍	实体书
古都	川端康成	实体书
呼啸山庄	艾米莉·勃朗特	实体书
哈佛家训	威廉·贝纳德	实体书
地下室手记	陀思妥耶夫斯基	实体书
地球无应答	王诺诺	网文
坍缩	刘慈欣	实体书
夏天、烟火和我的尸体	乙一	实体书
天官赐福	墨香铜臭	实体书与网文
天才在左疯子在右：心理疾病漫谈	高铭	实体书
天气之子	新海诚	实体书
女儿红	简媜	实体书
嫌疑人X的献身	东野圭吾	实体书
完美人设	和田秀树	实体书
小王子	安托万·德·圣-埃克苏佩里	实体书
局外人	阿尔贝·加缪	实体书
异草奇花	网文作者	网文
很杂很杂的杂学知识	张朝元	实体书
悟空传	今何在	实体书
我是猫	夏目漱石	实体书
挪威的森林	村上春树	实体书
文城	余华	实体书
斯坦福高效睡眠法	西野精治	实体书
月亮与六便士	毛姆	实体书
某某	木苏里	实体书与网文
水问	简媜	实体书
海底两万里	儒勒·凡尔纳	实体书
海边的卡夫卡	村上春树	实体书
痴人之爱	谷崎润一郎	实体书
白夜	陀思妥耶夫斯基	实体书
白夜行	东野圭吾	实体书
白金数据	东野圭吾	实体书
百年孤独	加西亚·马尔克斯	实体书
睡美人	川端康成	实体书
窄门	安德烈·纪德	实体书
简爱	夏洛蒂·勃朗特	实体书
红与黑	司汤达	实体书
罗生门	芥川龙之介	实体书
罪与罚	陀思妥耶夫斯基	实体书
老人与海	欧内斯特·海明威	实体书
胭脂盆地	简媜	实体书
自学大全	读书猴	实体书
解忧杂货店	东野圭吾	实体书
诡秘之主	爱潜水的乌贼	实体书与网文
边城	沈从文	实体书
道诡异仙	狐尾的笔	网文
雪国	川端康成	实体书
霍乱时期的爱情	加西亚·马尔克斯	实体书
飘	玛格丽特·米切尔	实体书
骆驼祥子	老舍	实体书
