# =============================================================================
# 游戏数据（批量编辑用）
# 来源: zhita_settings.xlsx → 工作表「游戏」
# 写回: python scripts/site/export_books_games_txt.py --import-games
# 说明:
#   - 制表符分隔；以 # 开头的行为注释；空行忽略
#   - 下方第一行有效数据必须是表头：名称、系列、平台（Tab 分隔）
#   - 从第二行起每行一条记录；字段内请勿使用制表符
# =============================================================================

名称	系列	平台
100%鲜橙汁		Steam
ARK:The Survival Of The Fittest	方舟	Steam
FLORENCE		Steam
JADED		Steam
LoveChoice 捡爱		Steam
PEAK		Steam
Samsara Room	绣湖	Steam
Sizeable		Steam
The Wanderer: Frankenstein's Creature		Steam
不巷歌		Steam
人类一败涂地		Steam
传说之下		Steam
传送门	传送门	Steam
传送门2	传送门	Steam
侠盗猎车手Ⅴ	侠盗猎车手	Steam
侠盗猎车手Ⅴ增强版	侠盗猎车手	Steam
内心的过去	绣湖	Steam
冰与火之舞		Steam
刺客信条：大革命	刺客信条	Steam
刺客信条：枭雄	刺客信条	Steam
刺客信条：英灵殿	刺客信条	Steam
前方高能		Steam
历历在目		Steam
原子之心		Steam
去月球		Steam
双人成行		Steam
地狱边境		Steam
地铁繁花	绣湖	Steam
塔罗斯的法则		Steam
墨池镇		Steam
多重花园		Steam
夺蛋骑兵		Steam
孤山独影		Steam
孤帆远航		Steam
密码		Steam
寻找天堂		Steam
山谷		Steam
崩溃大陆		Steam
巫师3：狂猎		Steam
巴别塔圣歌		Steam
师父		Steam
幽灵行者		Steam
异星装置博物馆		Steam
影子工厂		Steam
德州电锯杀人狂		Steam
我们也在这里		Steam
我是僵尸		Steam
我的世界：传奇		Steam
战地风云1	战地风云	Steam
战地风云5	战地风云	Steam
战锤40K：格雷迪厄斯-遗迹之战		Steam
扣押2	扣押	Steam
扣押：豪华版	扣押	Steam
拉娜的星球		Steam
文明6	文明	Steam
方舟：生存进化	方舟	Steam
旁观者	旁观者	Steam
旁观者2	旁观者	Steam
无尽传奇		Steam
星际小队		Steam
星露谷物语		Steam
暴雨		Steam
最后的篝火		Steam
杀手：狙击挑战	杀手	Steam
杀手：赦免	杀手	Steam
极限国度		Steam
森林		Steam
死亡搁浅2：冥滩之上	死亡搁浅	Steam
死亡搁浅：导演剪辑版	死亡搁浅	Steam
死亡细胞		Steam
求生之路2		Steam
泰坦陨落2		Steam
泰拉瑞亚		Steam
海浪物语		Steam
消逝的光芒		Steam
深入		Steam
火山的女儿		Steam
灰色		Steam
灵异校园		Steam
灵魂摆渡人		Steam
狂野西部：枪手	狂野西部	Steam
狂野西部：生死同盟	狂野西部	Steam
王国：两位君主		Steam
甜甜圈都市		Steam
画中世界		Steam
白色阴影		Steam
白门	绣湖	Steam
盛夏盛开的花		Steam
看门狗	看门狗	Steam
看门狗2	看门狗	Steam
空洞骑士	空洞骑士	Steam
空洞骑士：丝之歌	空洞骑士	Steam
精灵与萤火意志		Steam
纪念碑谷2：全景版	纪念碑谷	Steam
纪念碑谷：全景版	纪念碑谷	Steam
绣湖：天堂岛	绣湖	Steam
绣湖：旅馆	绣湖	Steam
绣湖：根源	绣湖	Steam
耻辱	耻辱	Steam
耻辱2	耻辱	Steam
脑叶公司 | 模拟怪物管理		Steam
至暗时刻		Steam
艾迪芬奇的记忆		Steam
荒野大镖客：救赎2		Steam
蔚蓝		Steam
蝙蝠侠：阿卡姆之城年度版	蝙蝠侠	Steam
蝙蝠侠：阿卡姆疯人院年度版	蝙蝠侠	Steam
蝙蝠侠：阿卡姆骑士	蝙蝠侠	Steam
行尸走肉：终极系列合集		Steam
见证者		Steam
诡计穿越僵尸末日		Steam
逃生：试炼		Steam
逃离后室		Steam
逃离方块：收藏版	绣湖	Steam
逃脱者2	逃脱者	Steam
链在一起		Steam
随从大师		Steam
雨中冒险2		Steam
霍格沃兹之遗		Steam
风之旅人		Steam
饥荒		Steam
Garden Story		Epic
僵尸世界大战：劫后余生		Epic
取景器		Epic
彩虹小马格斗		Epic
我们一起在这里		Epic
无人愿死		Epic
黑暗侦探：黑暗中的摸索		Epic
Minecraft Launcher	我的世界	Xbox
Minecraft for Windows	我的世界	Xbox
我的世界地下城	我的世界	Xbox
